trial_id,view,payload_name,model_id,protocol_variant,prompt_id,prompt_category,payload_class,language,analysis_unit,nested_segment_count,text_available,text_sha256,word_count,sentence_count,character_count,flesch_reading_ease_heuristic,flesch_kincaid_grade_heuristic,coleman_liau_index,unique_word_fraction,repeated_bigram_fraction,repeated_trigram_fraction,maximum_identical_word_run,duplicate_sentence_count,unmatched_bracket_count,unmatched_double_quote_count,repeated_punctuation_count,whitespace_surface_flag_count,lowercase_sentence_start_count,long_sentence_count_gt40,missing_terminal_punctuation,artifact_like_fragment_count,surface_flag_total,tfidf_prompt_similarity,human_rating_substitute,readability_scope,source_mean_log_probability,source_effective_payload_rate
revision_v1_smoke_v2__0121383b5ec7441e8c94,forced_span,revision_v1_token_128_bit_hex_004,qwen2_5_7b_instruct_q4_k_m,ordinary_llm_control,forum_purchase_advice,forum_question_answer,token_128_bit_hex,en,payload_trial_view,1,True,fedbbe3642758eaa42f30e2d3d34f036b92de8feca15cc72ef6d585b4e292d3b,21,2,150,43.09178571428572,9.857380952380954,13.020952380952384,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0.09301135568562466,False,english_surface_heuristic,-1.2176914162829406,
revision_v1_smoke_v2__0338a28ec9940ca00e1b,forced_span,revision_v1_sha256_hex_004,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,narrative_small_discovery,personal_narrative_blog,sha256_hex,en,payload_trial_view,8,True,7aface781183239dcde9ac217aed65134dc2c950c245accc083e6126f6dfb9e9,48,5,290,70.19100000000002,5.854000000000003,6.596666666666664,0.8958333333333334,0.0,0.0,1,0,1,0,2,1,0,0,1,0,5,0.10954009718275216,False,english_surface_heuristic,-4.911269899682133,
revision_v1_smoke_v2__0338a28ec9940ca00e1b,full_message,revision_v1_sha256_hex_004,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,narrative_small_discovery,personal_narrative_blog,sha256_hex,en,payload_trial_view,8,True,997b2f1989413223924f747d1be810c32994aca0798316c878ca51aadbda7910,275,21,1694,57.875696969697,8.440051948051948,10.12087272727273,0.6581818181818182,0.04014598540145986,0.0073260073260073,1,0,0,0,2,1,0,0,0,0,3,0.29524619376748706,False,english_surface_heuristic,-1.46918737125909,0.7252124645892352
revision_v1_smoke_v2__07397a1a23bb45746f6b,full_message,revision_v1_nonce_96_bit_hex_007,qwen2_5_7b_instruct_q4_k_m,ordinary_llm_control,narrative_local_walk,personal_narrative_blog,nonce_96_bit_hex,en,payload_trial_view,1,True,eda68980169ec45e4a11d3f121d56769401ea66dba2c0fb7c481154fddc59731,88,4,497,62.41181818181819,10.019545454545455,9.314545454545456,0.7954545454545454,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0.10104038126014357,False,english_surface_heuristic,-0.7788610958153594,
revision_v1_smoke_v2__0bced614b6b2c0e8586a,forced_span,revision_v1_token_128_bit_hex_000,llama3_8b_instruct_q4_k_m,ordinary_llm_control,procedure_simple_meal,recipe_procedure,token_128_bit_hex,en,payload_trial_view,1,True,92a9491ef8179b793693fb122318e53c56ad9e95e2bffed113de3e2f3a97d0f2,25,2,139,72.32350000000002,6.277000000000001,6.9984,0.88,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0.13158200980652307,False,english_surface_heuristic,-0.8572956169124879,
revision_v1_smoke_v2__0db20b3bdb040b463217,forced_span,revision_v1_token_128_bit_hex_002,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,explain_weather_pattern,factual_explanatory,token_128_bit_hex,en,payload_trial_view,2,True,883376be2fd05c4ffea40ad0f5c943d3eac3fa671bc945af2ee45d1e60fd326a,26,3,150,77.64602564102567,4.582307692307694,8.149230769230773,0.9230769230769231,0.0,0.0,1,0,0,0,0,0,1,0,1,0,2,0.015833021403275426,False,english_surface_heuristic,-6.656860724213452,
revision_v1_smoke_v2__0db20b3bdb040b463217,full_message,revision_v1_token_128_bit_hex_002,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,explain_weather_pattern,factual_explanatory,token_128_bit_hex,en,payload_trial_view,2,True,05f3d11fd51bd88e4afaa3b3aca43c4a033ede9d4bc0281d828094ee5761df57,109,8,593,80.46434059633029,5.420997706422021,6.842201834862383,0.7706422018348624,0.0092592592592593,0.0,1,0,0,0,0,0,0,0,0,0,0,0.06745927817451235,False,english_surface_heuristic,-1.970662330936857,0.9411764705882352
revision_v1_smoke_v2__12fb3b4b117672244c3e,full_message,revision_v1_sha256_hex_002,qwen2_5_7b_instruct_q4_k_m,ordinary_llm_control,procedure_home_task,recipe_procedure,sha256_hex,en,payload_trial_view,1,True,a417e4ac79cff358281054917b8a7b12991e3d658b2f426aa2f07b90f6380d96,47,5,300,58.69400000000002,7.407914893617022,10.701276595744684,0.7872340425531915,0.021739130434782594,0.0,1,0,0,0,0,0,0,0,1,0,1,0.1150862012539556,False,english_surface_heuristic,-0.8614068827074581,
revision_v1_smoke_v2__15e884017a7791b27b90,full_message,revision_v1_token_128_bit_hex_002,llama3_8b_instruct_q4_k_m,ordinary_llm_control,explain_weather_pattern,factual_explanatory,token_128_bit_hex,en,payload_trial_view,1,True,1bf9f867edeff8d150bc77e3bf21f8b7b70d2c07ead91de480c318e89f2758e8,112,8,741,40.798214285714295,11.046785714285718,13.533214285714283,0.6696428571428571,0.05405405405405406,0.0,1,0,0,0,0,0,0,0,1,0,1,0.10117954817274395,False,english_surface_heuristic,-0.7674853011338578,
revision_v1_smoke_v2__193cd775936b504dd03e,full_message,revision_v1_nonce_96_bit_hex_008,mistral_7b_instruct_v0_3_q4_k_m,ordinary_llm_control,casual_neighborhood_chat,casual_conversation,nonce_96_bit_hex,en,payload_trial_view,1,True,f5f5523eb8b9cfc0058c2be5e79fba5a2aed5cb2e4e8fc864947638d75da71e1,99,6,551,73.01477272727274,7.174292929292928,8.064242424242419,0.696969696969697,0.0714285714285714,0.020618556701030966,1,0,0,0,0,0,0,0,0,0,0,0.0688080492745631,False,english_surface_heuristic,-0.3904907396064777,
